Summary,Issue key,Issue Type,Status,Priority,Resolution,Created,Resolved,Fix versions,Labels,Labels,Labels,Labels,Description,Environment,Custom field (Severity),Sprint,Sprint,Sprint,Custom field (Story Points)
Cannot delete card group from referrer BP and save changes,OBN1-21654,Bug,To Do,P1 ,,7/23/2025 7:48,,,,,,,"Present on stage. If you try to remove a card group from a referrer BP and try to save the change, 500 error is being thrown.



STEPS TO REPRODUCE:

# Find a referrer with multiple card groups in BP (HadjiogloCardgroup on moneris stage)
# Click edit on BP
# Remove one of the card groups
# Click save on the BP



EXPECTED

# Changes to be successfully saved



ACTUAL:

# 500 error is being thrown

!image-20250723-065211.png|width=41.66666666666667%,alt=""image-20250723-065211.png""!

# Following error is being logged:

An exception occurred while executing a query: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails ({{moneris}}.{{payment_referrer_override_fees}}, CONSTRAINT {{FK_AAF7862924DB0683}} FOREIGN KEY ({{config_id}}) REFERENCES {{payment_billing_plan_config}} ({{id}})) >> Trace: #0 Connection.php:1939: Doctrine\DBAL\Driver\API\MySQL\ExceptionConverter->convert(..) #1 Connection.php:1881: Doctrine\DBAL\Connection->handleDriverException(..) #2 Connection.php:1213: Doctrine\DBAL\Connection->convertExceptionDuringQuery(..) #3 Connection.php:698: Doctrine\DBAL\Connection->executeStatement(..) #4 BasicEntityPersister.php:609: Doctrine\DBAL\Connection->delete(..) #5 UnitOfWork.php:1302: Doctrine\ORM\Persisters\Entity\BasicEntityPersister->delete(..) #6 UnitOfWork.php:472: Doctrine\ORM\UnitOfWork->executeDeletions(..) #7 EntityManager.php:403: Doctrine\ORM\UnitOfWork->commit(..) #8 ReferrerChargebackFeesService.php:60: Doctrine\ORM\EntityManager->flush(..) #9 ReferrerBillingPlanService.php:262: App\Service\Payment\ReferrerBillingPlan\ReferrerChargebackFeesService->updateChargebackFees(..) #10 ReferrerBillingPlanService.php:182: App\Service\Payment\ReferrerBillingPlan\ReferrerBillingPlanService->updateBillingPlan(..) [] []",,,148,,,
[Workflow ] Fix edge-case workflow validation rule,OBN1-21506,Bug,Done,P3,Done,7/9/2025 14:18,7/15/2025 10:33,OBN 1.89,,,,,"Workflow creation validation for mandatory step rule condition not works as expected, AxiosError being thrown instead of validation for missing mandatory rule conditions.



STEPS TO REPRODUCE *(video is attached as well)*

# Initiate workflow creation
# Set some steps that involve rule condition
# Get to the “Step configuration” page
# Do not set any step rule condition, just click “Save”

!image-20250709-132453.png|width=876,height=449,alt=""image-20250709-132453.png""!



EXPECTED:

# UI validation to be performed, Step Rule conditions being highlighted



ACTUAL

# Axios error is shown below workflow name

!image-20250709-132637.png|width=722,height=405,alt=""image-20250709-132637.png""!

# Backend validations are still performed

!image-20250709-132658.png|width=734,height=517,alt=""image-20250709-132658.png""!",,,146,,,1
[Email] Document email request for a non-user PSC was not sent,OBN1-21489,Bug,To Do,P2,,7/8/2025 10:59,,,,,,,"Issue description:

{noformat}Handling ""App\Message\Workflow\StepRunner\MerchantOnboardingMessage"" failed: App\Service\Utils\Locale\LocaleService::getLocaleByEntity(): Argument #1 ($entity) must be of type App\Doctrine\Traits\Locale\HasLocaleInterface, null given, called in /var/www/api.prod.obnglobal.com/src/Service/Workflow/NotificatorAbstract.php on line 166
Trace:
#0 NotificatorAbstract.php:166: App\Service\Utils\Locale\LocaleService->getLocaleByEntity(..)
#1 MerchantOnboarding.php:126: App\Service\Workflow\NotificatorAbstract->sendDocumentsUploadRequiredToPSC(..)
#2 StepRunnerAbstract.php:333: App\Service\Workflow\StepRunner\MerchantOnboarding->actionOnOfficerWithoutDocsException(..)
#3 StepRunnerAbstract.php:277: App\Service\Workflow\StepRunnerAbstract->executeStep(..)
#4 MerchantOnboardingHandler.php:16: App\Service\Workflow\StepRunnerAbstract->run(..)
#5 HandleMessageMiddleware.php:152: App\MessageHandler\Workflow\StepRunner\MerchantOnboardingHandler->__invoke(..)
#6 HandleMessageMiddleware.php:91: Symfony\Component\Messenger\Middleware\HandleMessageMiddleware->callHandler(..)
#7 SendMessageMiddleware.php:71: Symfony\Component\Messenger\Middleware\HandleMessageMiddleware->handle(..)
#8 RetryCountMiddleware.php:25: Symfony\Component\Messenger\Middleware\SendMessageMiddleware->handle(..)
#9 RollbackIfExceptionMiddleware.php:32: App\MessageHandler\Core\RetryCountMiddleware->handle(..)
#10 DoctrinePingConnectionMiddleware.php:34: App\MessageHandler\Core\RollbackIfExceptionMiddleware->handle(..){noformat}

{panel:bgColor=#deebff}
+Dev notes:+

We are trying to identify the user's locale to be able to use it in email templates (translations), but no organization members or users are created yet at the step execution.

This can be reproduced from any steps where officer documents can be uploaded if was not provided before. Might be related to the not expected steps order in the workflow.

Impact of the bug: email described in #7580 was not sent.
The easiest fix: if the user or org member was not found, we can use the operator locale instead.
{panel}

*_Expected result:_* the email implemented through [https://cardstream.atlassian.net/browse/OBN1-7580|https://cardstream.atlassian.net/browse/OBN1-7580|smart-link]  is sent to the intended recipient.

*_Actual result:_* the email was not sent.",,,148,,,
Operator and Referrer Fee calculated with 0.01 cent difference (round issue),OBN1-21483,Bug,Done,P1 ,Done,7/7/2025 14:43,7/10/2025 10:50,OBN 1.89,,,,,"*Steps*: 

dump for testing [^dump-moneris-202507071640.sql] 

# Prepare billing plan 

!image-20250707-135109.png|width=54.91064545998275%,alt=""image-20250707-135109.png""!

# Process payment with amount = $4.04 (just run command to process Sale, if you use dump)
# Check Calculated Referrer Fee and Operator fee 

*Expected*: Referrer fee = 3.01, Operator Fee = 2.19

!image-20250707-135443.png|width=1462,height=757,alt=""image-20250707-135443.png""!

!image-20250707-135805.png|width=1288,height=760,alt=""image-20250707-135805.png""!

*Actual*: Referrer fee = 3.00, Operator Fee = 2.20

!image-20250707-135047.png|width=2129,height=1144,alt=""image-20250707-135047.png""!

to check Refunds",,,146,,,2
"[Statements] Merchant invoice is not generated if only ""Disputed Transactions"" table has data",OBN1-21422,Bug,Done,P2,Done,7/2/2025 7:17,7/16/2025 10:42,OBN 1.89,,,,,"Merchant invoice for which only “*Disputed Transactions / Chargebacks*” table has data will not be generated. Only if some additional info is present in the invoice, only then the invoice will generate and include “*Disputed Transactions / Chargebacks*”



STEPS TO REPRODUCE:

# Add a chargeback for the invoiced month
# Make sure no other fees or transactions were performed for the invoiced month 
# Generate the invoice for the invoiced month - php bin/console obn:invoices:generate-for-merchants --force



EXPECTED:

# Invoice is generated having only the “*Disputed Transactions / Chargebacks*” table



ACTUAL:

# No invoice is generated. Invoice is generated only if another transaction/fee will be added to that month



In the attached DB an invoice for May should be generated for merchant “merchant”",,,146,,,3
[Billing] Refunds cannot be processed due to missing Refund Fee deduction records,OBN1-21403,Bug,Done,P1 ,Done,6/30/2025 8:45,6/30/2025 13:08,OBN 1.88,NoShow,,,,"Issue:

# Merchant Billing Plan has Operator fee → Refund fee % value “0.00”
!image-20250630-074734.png|width=1194,height=763,alt=""image-20250630-074734.png""!
# Payment file is received with a Refund.
Expected result: the Refund is processed successfully.
Actual result: the Refund is not processed and the following error is captured
{noformat}SPLITTING_STORE_ERROR for BamboraTransaction with id = 36700: Error: UnexpectedValueException.
Code: 0
Message: Unexpected deduction type: BPS
Trace: 
#0 FundsSplitter.php:33: App\Service\Payment\FundsSplitter->extractDeduction(..)
#1 RtrFeesCalculator.php:71: App\Service\Payment\FundsSplitter->referrerAmount(..)
#2 RtrFeesCalculator.php:29: App\Service\Payment\RtrFeesCalculator->completeFeeRelatedToReferrer(..)
#3 RtrSplittingInitializer.php:82: App\Service\Payment\RtrFeesCalculator->calculate(..)
#4 RtrSplittingInitializer.php:63: App\Service\Payment\Splitting\RtrSplittingInitializer->storeSplittings(..)
#5 BamboraProcessRefundsCommand.php:192: App\Service\Payment\Splitting\RtrSplittingInitializer->calculate(..)
#6 BamboraProcessRefundsCommand.php:93: App\Command\Payment\Bambora\SettlementReport\BamboraProcessRefundsCommand->calculateSplittings(..)
#7 BamboraProcessRefundsCommand.php:69: App\Command\Payment\Bambora\SettlementReport\BamboraProcessRefundsCommand->executeRefundsDeductionProcess(..)
#8 Command.php:326: App\Command\Payment\Bambora\SettlementReport\BamboraProcessRefundsCommand->execute(..)
#9 Application.php:1096: Symfony\Component\Console\Command\Command->run(..)
#10 Application.php:126: Symfony\Component\Console\Application->doRunCommand(..){noformat}

{panel:bgColor=#deebff}
Dev notes:
There is no deduction for billing plan with id {{7093}}, payment type {{FEE_REFUND}} and deduction {{BPS}}. So it might be that something is misconfigured or we have a defect at the level of the code.
{panel}",,,145,,,1
[Statement] Fix synchronous Merchant statement download issue,OBN1-21368,Bug,Done,P3,Done,6/26/2025 12:50,7/10/2025 9:42,OBN 1.89,,,,,"Current issue:
1. when a Merchant statement is downloaded by 2 users at the same time, the following exception is thrown:

!image-20250626-142321.png|width=1078,height=659,alt=""image-20250626-142321.png""!

*Expected result:* the merchant statement is successfully downloaded.",,,146,,,1
"Workflow step ""Calculate the Operator fee"" fails if merchant had 2 outlets during onboarding",OBN1-21335,Bug,Done,P1 ,Done,6/20/2025 12:48,6/27/2025 12:43,OBN 1.88,NoShow,,,,"If user tries to onboard a merchant with two outlets, step “Calculate the Operator fee” from workflow fails.

STEPS TO REPRODUCE:

# Initiate onboarding of a merchant by having at least 2 outlets
# Make sure workflow gets to “Calculate the Operator fee” step



EXPECTED:

# Step to be completed successfully



ACTUAL:

# Step fails:

!image-20250620-115333.png|width=1767,height=561,alt=""image-20250620-115333.png""!

{noformat}[2025-06-20T11:49:55.279365+00:00] app.ERROR: An exception occurred while executing a query: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '42-1-2-CAD' for key 'payment_chargeback_merchant_fees.UNIQ_8C3B166F6796D55448B4D2BD1EC08DAAFDA273EC' Trace:  #0 Connection.php:1939: Doctrine\DBAL\Driver\API\MySQL\ExceptionConverter->convert(..) #1 Connection.php:1881: Doctrine\DBAL\Connection->handleDriverException(..) #2 Statement.php:194: Doctrine\DBAL\Connection->convertExceptionDuringQuery(..) #3 Statement.php:249: Doctrine\DBAL\Statement->execute(..) #4 BasicEntityPersister.php:285: Doctrine\DBAL\Statement->executeStatement(..) #5 UnitOfWork.php:1183: Doctrine\ORM\Persisters\Entity\BasicEntityPersister->executeInserts(..) #6 UnitOfWork.php:447: Doctrine\ORM\UnitOfWork->executeInserts(..) #7 EntityManager.php:403: Doctrine\ORM\UnitOfWork->commit(..) #8 EntityManagerDecorator.php:221: Doctrine\ORM\EntityManager->flush(..) #9 TransactionFeesSetter.php:41: Doctrine\ORM\Decorator\EntityManagerDecorator->flush(..) #10 CustomEntityManager.php:43: App\Service\Workflow\Task\TransactionFeesSetter->App\Service\Workflow\Task\{closure}(..) [] []{noformat}

Attached the DB dump where you can retry the step for application 48 (operator login is the default for moneris)",,,145,,,3
[Outlets] Outlet cannot be created for an onboarded merchant,OBN1-21328,Bug,Done,P1 ,Done,6/20/2025 8:52,7/7/2025 10:11,OBN 1.87,NoShow,,,,"+Scenario+:

# The Operator or Referrer users clicks “Create Outlet” for a merchant already onboarded with at least one outlet.
# The user edits the Outlet data and clicks “Save” and “Confirm”

*_Expected result:_* Outlet is successfully created

*_Actual result:_* error appears “The merchant does not have access to one of the payment services that you’ve tried to activate for this outlet.”



_Example:_

!image-20250620-075440.png|width=1565,height=800,alt=""image-20250620-075440.png""!

!image-20250620-075532.png|width=1091,height=772,alt=""image-20250620-075532.png""!

!image-20250620-075550.png|width=1590,height=913,alt=""image-20250620-075550.png""!",,,145,,,2
Moneris - POST /merchant cardHolderName not truncated,OBN1-21275,Bug,To Do,P3,,6/10/2025 13:29,,,,,,,"*Steps*: 

# Run EWD day job for yesterday
# Process RTP, RTR for OBMC for Today date
# Run EWD day job for Today
# Check {{payment_report_parts}} have new_funds_volume
# Navigate to Merchats → Outlets
# Validate Processing for Open Banking (Mastercard)

*Expected*: In “Processing for Open Banking (Mastercard)” is displayed sum of {{(new_funds_volume - refund_volume)}} for last 30 days from payment_report_parts (just OBMC mpa’s)

*Actual*: N/A is displayed

if login as Merchant same issue

Note: “Total Processing” is displaying correct value

dump  ",,,,,,
